"","x"
"1050","Great for every day use, gaming, everything you need it for bascically
            "
"1051","Everything works great
            "
"1052","Brilliant device. I absolutely love it.
            "
"1053","It's perfect for sending noodles
            "
"1054","Worth every single penny
            "
"1055","
            "
"1056","The phone is was it says, But if you just throw a SI card in the additional benefits that comes with purchasing from a provider does not work, for example with AT@T I do not get 4 LGT speeds as the phone was just an unlocked version.  Very disappointed with that so do your research and find out what Samsung says it will do vs. what it will really do if not purchased from your provider.
            "
"1057","LOVE IT!!!
            "
"1058","Everything is okay except for the fact that my video calling feature is completely missing. Called Samsung to fix and they said it was a phone company issue. Called my phone company and they said its a samsung issue. Completely frustrating !!
            "
"1059","Has a Bluetooth connection issue with blue tiger headsets that Samsung is aware of but has yet to correct
            "
"1060","Everything about samsung Galaxy s9 is awesome except my volume controls were not functioning sorry 4 stars
            "
"1061","I purchased the lilac purple phone Sunday afternoon and it was delivered Monday morning. The phone was new, no damages as others have talked about , with all parts and accessories included like you would get if you purchased it from Samsung.com. I also chose the bundle which included a 128 GB mini SD card as well as a Fast Wireless Charger stand. The bundle was at no extra cost so the price was $839 plus tax. Great deal if you ask me.  I am coming from a Samsung Note 8 and there are minor upgrades from the Note 8 but those minor upgrades was worth me buying the S9+ . The phone is snappy, the sound due to the dual speakers makes a world of a difference. The camera is better than my Note 8 and the AR emojis are fun. Once the Note 9 comes out, I will be sure to compare that against the S9+ but in the mean time, I will switch between this S9+ and my Note 8 as my daily driver. (Its something about the S pen on my Note 8 that I can not let go. Great phone. I would reccomend this device.
            "
"1062","I love the phone, but it had a Nick in the finger print scanner straight out of the box. The past 3 phones I've had have been from Samsung and I've never had this problem. I would give it 5 stars but, I can't pay this much for a phone and expect a scratch here or paint missing there.
            "
"1063","I received this phone and out of the box, I felt it would be a hard phone to keep a hold of if your hands are damp. I also had some issues within the on screen keyboard. I did like the fact that you could tel the phone to play a notification tone while on a call. I also like the fact you could turn off the call connected/disconnected tones.The phone also has some other things I just can't live with. The phone would play a notification tone whenever I would connect an Bluetooth keyboard and or a hard wired keyboard to it. I couldn't find a way to turn that off. I contacted Samsung and they told me that is just the way the phone works and there wasn't a way to turn that off. US customer service from Samsung in my thoughts is lacking at best.I also got the Notification tones when I turned on/off the Voice Assistant for blind people to use the phone. Thhen on top of that, when using the voice assistant, I couldn't get the caller ID to repete it would only say it once and that was it. I tried quite a few caller ID programs and none of them worked when using a Bluetooth headset to get the caller ID to speak every 5 seconds or so. Without a headset connected by Bluetooth, they worked.The finger commands for there voice assistant for the most part don't work while on a call. Example: if I'm not on a call with voice assistant running, I could triple tap with two fingers and get status information like for time, network, WiFi etc... While on a call it says nothing. Same way with a lot of the other commands they don't work.To me for a blind person, I would stay away from this phone as the way it currently is.
            "
"1064","The phone is awesome. Highly recommend it...The phone arrived without any damages...The delivery was couple of days late though...the box had all the general accessories that you get with the box
            "
"1065","Great phone, brand new out of the box
            "
"1066","Good
            "
"1067","I love this phone!
            "
"1068","It's not even fully unlocked because I can't have Verizon as my carrier. I'm lowkey mad. Refund time!
            "
"1069","*** IMPORTANT ***If you¡¯re coming from iPhone, this phone is gonna wow you when it comes to display panel, camera, wireless charging, Android flexibility (widgets, etc), Business applications (calendar, email, etc)./ BUT /.If you¡¯re a heavy iMessage users and love Apple ecosystem, battery life (iPhone X better than S9+), and the thin square feeling when you hold the phone (iPhone X sits better in the hand) then you may not like this phone or any other phone..I got it as a second phone to my iPhone X, and the camera & screen on S9+ kicks the iPhone butt hands down!!.4 stars because the battery life!-Update-Changing to one star because as of June 10, 2018 this phone still running Android Security Patch from Feb 2018! Do not buy Samsung phones as they seem to fail to push updates on time leaving you vulnerable to threats! Shame on you Samsung!
            "
"1070","In Mobile Networks, under APN, it says Tracfone reseller!  For this price, I did not want a reburbished phone. Not only thiat, but the MMS messages do not come through and I can't for the life of me,  find out how to write a message...I'm sure that's something I've overlooked though...All in all, I loved my Galaxy s5.  If I could find a way of charging the battery, I'd continue using it, but the prongs are all screwed up...Don't get me wrong, I guess this is a beautiful phone and all for techies, but It doesn't do what my old phone did. I wish I could find a NEW galaxy s5. but i'm sure they're all refurbished too.  I'm just really disappointed. A lot of the features just don'[t work on my phone...Not worth almost a 1000. Going to return.
            "
"1071","Compre el equipo y tiene poco q lo empeze a usar y la verdad no estoy conforme por que todo el tiempo se le va la senal de datos de el internet debe de ser defecto de fabrica tambien en muchas ocasiones en el dia me quedo sin linea de telefono y quisiera el rembolso de mi dinero no estoy conforme con el producto si apenas mando este mensaje es por q queria ver que relamente tenia la falla
            "
"1072","This product was not as advertised, the Faq's stated that this was available for use on Sprint Network, but when I took it to the Sprint store they told me the particular phone I had ordered was not compatible with Sprint.
            "
"1073","This is a great device!
            "
"1074","Everything ok
            "
"1075","This phone is amazing. Don't even think about it, get it.The only thing to envy from Iphone is the dynamic software navegation.Otherwise must be the best phone on the market nowadays.
            "
"1076","Galaxy S9 was stolen from the package.
            "
"1077","Have had to replace it three times now
            "
"1078","The smartphone is amazing, but the charger died in the second day that I used it.
            "
"1079","I buy this for my wife  she love it  thank you guys for keeping that good job
            "
"1080","The phone is great and I upgraded from my Galaxy S6 Plus. The only problem is the volume for notifications ( text messages etc.) Is terrible. If my phone is in my pocket I can't hear it. There are a lot of complaints about this online. I wouldn't purchase this until Samsung fixes this problem. I've only rated this 1 star to make sure it's noticed.
            "
"1081","Love it so far, earphones are the biggest downside to it, that look pathetically made and sound bad but overall the phone itself is a beauty
            "
"1082","Love it
            "
"1083","I like tis
            "
"1084","I have owned two Samsung phones I don't know why I bought an s9 after I got my s5. The s5 as it received updates it would run slower and the battery life would barely last 4 hours after 1 year. I have now had my s9 for 4 months and it is starting to go down the same path. The worse part is I try to refuse the updates but now Samsung forces them upon you. I contacted them for help and all they said was we recommend you do them and then nothing more. I bought an Android because I thought I would have freedom of software use and to refuse updates, that is no longer the case. Next phone will be an apple iPhone where you can refuse updates and they have better privacy protection.
            "
"1085","I have now purchased 2 - one right after the other. Not from here. The litany of problems - and I will have to summarize...1. battery died to 3% first day. No gaming. No nothing, except talking for a couple of hours and taking a few pictures. Truly.  2.) Ringtones would not work for texting, UNLESS I was talking on the phone. This was before the Master REset.  Otherwise, I just got the vibration and ""aaagh). Again. It was nothing I had done or not done.  Called Carrier - again - Consumer Cellular - and was told to do something you could not do to this phone - hard shock - was told to take it to Target. I did not get it from Target. Got a Supervisor - we did a Master Reset. After that, I could not even use it as a phone. No texting. No phone calls.#2 phone. Messes with my files. Ringtones won't work with texting - unless I'm talking -  the battery bleeds like nobody's business. I don't game. I don't bank. I just got the bloody thing because my J7 went bad... and I wanted a larger screen.  This thing tells me that the ""badges"" will show with I receive a message or phone notification. They don't. Again, not my bad. This is BEYOND glitchy.Don't Do It.
            "
"1086","Beware, this unlocked phone does not have advanced calling or video calling capability.  Went from a S7 to this S9 & went backwards in features.  The seller info should declare these deficiencies in their sales pitch.
            "
"1087","Pros:Everything an expensive phone should have (great camera, display, sound, processing speed, etc)Headphone Jack!Micro SD slot (memory expandable up to 400gb)!Available for pretty much any carrier I can think of in the USA (unlike other great phones like the One Six Plus)Android OS so more options for those of us that like to mess with devices (and lots of great apps not available on iOS)Very good looking phoneSuper fast data usageSuper fast fingerprint unlock""Mehs"":Battery lifekeyboard a tad laggy imo (can be improved or even changed if you mess around)Bixby (has soo much potential, but it kinda sucks rn, and that bixby button... WHY)A few apps should have a bit more optimization when compared to iOSAR Animoji isn't as good as the iPhone X's version (I mean, idc; but some might lol)Face recognition is meh compared to the iPhone X'sCons:PRICE... This, and the iPhone 8 and X are too expensive... I still bought it, but still... (if you're tight on money, buy an S8 or different new good android phone. And if you're really tight, buy a good used S something or sort of recent iPhone)Fragile, had to buy a case and screen protector day oneLike 2 bloatware apps but you CAN remove them thankfullyOverall, I don't think I'll ever pay 800+ for a phone again even though I keep mine for three years before I replace; I'd rather do something better with that money. However, it's a damn good phone and I do recommend it if you keep your phones for a while or you're someone that needs the best phone every year. Compared to the X that some of my friends have, this phone is better imo. The X does do a few things better, but I still personally prefer the S9. Coming from an iPhone 5s, it's obviously a HUGE leap for me in terms of phones lol. If you're like me and want to try Android rather than going back to iOS, buy a good phone like this one (or the Huawai P20 PRO, One Six Plus, basically a good android phone) and you won't regret it. Will I stay with android and/or Samsung in three years? I don't know, but if things keep getting better as they are right now for android, I sure damn will. :)
            "
"1088","I had an iphone X but I sold it for this. The iphone x was a huge disappointment. I used to buy nothing but apple products, but I realized how far behind apple is. This phone has a much larger display and higher quality than the x. Plus there is no annoying top notch at the top. The camera is better, I took pictures on both phones and the samsung was the only phone to pick up the fine print from a picture on my wall standing 12 ft away. The iphone x was blurry and the print wasn't legible. This phone has an incredible aperture to take crisp pictures even in low light. I don't believe its oversaturated, it all depends on what area of the screen you tap on and the phone will adjust the colors accordingly. Overall this phone probably has one of the best cameras on the market.The specs are good, you'll be able to multitask without any issues.The battery life is about average for me, it's not as much as I would like but it's not terrible either. I use my phone a lot for business, emails, video etc.. it gets me through the majority of my working hours around 7 hours of on screen time.Coming from an iphone user this is much better!
            "
"1089","Samsung does not care about customer satisfaction. For them customer-centric culture is a very foreign idea.  This is my experience. I will never buy Samsung electronic device again and will convince all my friends and family to avoid that trainwreck also.Bought this phone new in July 2018, at Best Buy. Phone started to act up couple months later, not taking up the charge, finally turning into a brick. And since then it was a road through hell of Samsung (questionable) quality and dealing with the worst customer service I have ever encountered... It is unbelievable, because I expected Samsung to be on par with Apple, but boy, am I disappointed!So - it has essentially been the following cycle: would not take charge -- repair (2 weeks) - would take charge for a day, then would not take charge - - repair (2 weeks) - would take charge for a day, then would not take charge - - repair (2 weeks) - would take charge for a day, then would not take charge - then I finally decided to call customer service again, but demanding refund, being fed up with this whole brand altogether. It's been quite a ride with those guys, too! It took them first a few days to reply, oh sorry, I take it back - to do nothing, then I called last Friday (12/07) demanding refund again. Then I was told 48 hrs for decision. Then nothing, so I called Wednesday, after 72 hours and was escalated to someone else who told me it is up to five days, so I need to wait until Friday 12/14 (today) and they'd call me with the decision. So I waited till Friday's late afternoon because - of course - nobody called, and after being elevated again, spending about 2 hr and demanding information, I was told the phone cannot be refunded, not even exchanged! Only repaired again (because they have policies that say that main board has to be replaced). Next week I was supposed to get this phone on an international trip. Now I am stranded without one, I just haven't got some $700's around to buy new phones anytime I feel for it.It is unbelievable that they have some unrealistic policies and it does not matter that phone breaks 4 times (the same thing) and they would not replace it, let alone refund it, cause ""it wasn't motherboard"". My communications with even 2nd level manager was just as that - pointless. Banging my head against the wall of some corporate baloney - rather than being cared about as a customer who does genuinely get hit by their product poor quality.GO FOR iPHONE INSTEAD!!!  Maybe the phones aren't Androids but at least they have some true customer service out there!
            "
"1090","I have owned Apple products for over 10 years now and loved them at the beginning. I thought I would never switch to another product, but with the increasing price and little new innovation on the new products I decided to try a new product. I came across Samsung and after much research I decided to try them out. I got the Galaxy S9 and all I can say is WOW! The camera is amazing I can take high quality pictures and adjust the lighting to fit the background, the battery life lasts forever I go 2 days minimum without having to charge it and I am on it constantly. The Face ID and fingerprint are great, I can even use the Face ID in pitch dark and it works! Storage is unbelievable I store over 7k pictures and still have room for apps and lots of contacts! Overall this is such a great phone I can honestly say I will never go back to Apple.
            "
"1091","Great phone. No problem there. Problem is that this particular phone from this particular vender is a Sprint phone and will not work to full capacity on Verizon network. In particular, the voicemail icon for Verizon does not work on this phone. There is no icon for voicemail.  I called Verizon about it and they said that since the phone was made as a Sprint phone, there is nothing they can do about it. In trying to help me out, Verizon told me that they could not do a shared screen process to figure out the problem. I am not willing to spend this much money on a phone with so much potential only to discover that the phone was made for the wrong company by whom I receive service.  I will be returning this phone to get a Verizon compatible phone.
            "
"1092","Had problems activating it through Verizon but finally got it.  Great camera.  Pretty much the same as a  S8 with a few cool upgrades.
            "
"1093","If you've already used or owned an S8, the S9 is going to be a very familiar device.  Same-fish design, same glorious Samoled display, same 18.5:9 aspect ratio, etc. Dont expect a drastic change from the S8 going to this phone.However, there are improvements such as a dual aperture camera, which isn't an apparent change at first until you dive into pro mode, a stereo speaker setup with the earpiece finally playing media when watching videos or playing games, and a better fingerprint sensor location. The bottom chin of the phone is also a bit smaller than it is on the S8 so there's a little asymmetricism going on when you rotate the phone sideways but hey, no dumb notch right? Samsung's skin is still drastically different from Google's vision of Android but serious work done with the s8 to improve performance is still present and I actually prefer the aesthetics of Samsung Experience, the new name of the software skin compared to stock vanilla android Oreo.Only downsides I can see are still average battery life and the general use of gorilla glass 5, which is more shatter resistant but quite a bit easier to scratch. There's two or three microscratches along the front glass though it's just the oleophobic coating and it's nowhere near the sensors, not to mention it's hard to see. That might just be me though as I'm rockin' the phone naked. Curved glass is also pretty much just for aesthetics and having an option to not have them or at least just have small curved edges would be more preferable but not a big issue for me.Either way, the S9 is a definite option to consider if you're planning to upgrade to a new phone anytime soon.EDIT: added more photos
            "
"1094","I bought 2 Samsung Galaxy S9 back in March from Samsung.com.My first issue was when they charged me for my exchanged S7 device that they claimed had physical damage but from the pictures they provided showed nothing more than normal wear. Calling and calling did no good to get anything done and just run around in circles.  They couldn't even provide the IMEI of the returned device to prove it was even the one that I sent to them.I went to sell my Samsung Galaxy S9 because I was so mad from this experience.  I sold the phones that should have been unlocked since I paid full price for the phones.  But the phones were locked to T-Mobile and T-Mobile couldn't unlock them.  I called Samsung and they couldn't unlock the phones either sending me in circles.  I asked the reps why they would send me a phone I paid full price for locked and why they wouldn't unlock the phone.Samsung has the worst customer service and I highly recommend getting a Google Pixel or another Android device.
            "
"1095","S9 could be a wonderful phone but the OS sucks at this point. Phone OS traps you in delete mode for both messages and email, only way out is shutting the phone down and repowering up, at least once a day. Additionally phone comes bloated with google everything with permissions for way too much. Settings are multi layered and manual is useless, eventually you can modify settings to meet your needs, if you do not it is setup to eat battery power, and data at amazingly high rates. If they can get the delete traps fixed then the phone would be acceptable or maybe amazing, can¡¯t see that yet. Maybe after they do some more fixes. I have had two system upgrades so far..... hoping for some sanity and stability soon..... please
            "
"1096","I gave it 4 stars because there is no perfect phone, if there was they wouldn¡¯t need to keep creating new models. I purchased mine elsewhere but exact same model and love the slim design. I¡¯m comparing it with my present iPhone 7+. I¡¯ve only had the Samsung 9 for 7 hrs but it¡¯s definitely top quality. However, I paid $600 but got a $200 rebate from a little known and new website called invisible dot com.  It gets better, their plan is unlimited and on Verizon, and truly unlimited, and no data threshold where it throttles down. It starts and stays at 5mbps the entire time period but it¡¯s great for streaming HD and works as a hotspot. Lastly make sure you buy a radiation proof cover not just an RFID one, the radiation from 4G is proving to cause tumors  especially with Bluetooth earpiece and 5G is even worse, lookit up.
            "
"1097","The S9 Plus is nearly as silly as the Iphone. Samsung has managed to make an impractical phone that looks sexy. For starters, the battery is glued in! Three replacement batteries kept my old S5 alive for many years. Now I'm looking at $100 to replace the battery in the S9 Plus. Ouch!What's with those curved edges! My screen already has a couple of scratches and I still can't find a screen protector that doesn't piss me off. At this rate, I'm going to need another phone in 6 months... but perhaps that's what Samsung is hoping.It's not all about length; it's how you use it! When holding the S5 in one hand, my thumb doesn't reach to the top of the screen; it's now a two-handed device. Plus (pun intended), it's too long for my jeans pocket and it jabs into me when I bend at the waist.It takes great pictures. Other than that, I'm missing my S5.
            "
"1098","I decided to move to Android after 5+ years with Apple. Main reason I bought the s9+ was the camera.You can get along with the Android way of doing things, but what really pissed me of was when I tried to backup the photos I took in my Macbook.Actually I have *returned* this phone after struggling an entire day searching an easy way to backup pictures on my Mac.After trying 5 different apps (including some weirdo chinese apps), trying with an SD card and everything, it was clear to me that this phone integration with a Macbook was a big NO for me. Oh, did I mention that some of the files got corrupted when I moved from internal storage to Micro SD?
            "
"1099","Pro:Fingerprint sensor works like a charm.The quality of the photos is beyond top notch.The phone fits well in my hand and doesn't feel bulky.It comes with plenty of storage, which can be expanded with SD cards.Price range won't break the bank and gives you a quality phone.Cons:Get a case for it. The back of the phone can get marked up rather easily.The battery drains annoyingly quick, Even with battery saver options on. It's the biggest and only real flaw of the phone and I wish the battery saver options were a bit more open to allow you to pick and choose what you want to do.Overall, I enjoy the phone and if having a longer battery life is a must then I'd recommend getting the S9 Plus because the battery life is quite a bit better. Other than that, It's everything I want in a phone.
            "
"1100","Never have I ""Hated"" a phone. However, Samsung has made that happen.Between the annoying Bixpy, that always pops up and can not be deleted.....to the Annoying home button, constantly being pressed when navigating pages that have button presses at bottom of screen.....to the beveled ""edge"" glass that has cracked 3 times, due to cases not being able to protect it....finally, the battery life is weak compared to my son's motorolla and wife's pixel!No thanks, on the S9 series!
            "
"1101","After receiving the phone i tried to activate through sprint and it wouldnt work by using my current sd card. Went to the sprint store and bought a new one. Still didnt work. Went on sprints website and typed it the imei number and it stated it will work on the sprint network. Called customer service and gave them the iemi and they shipped me out a new sim card. Called to activate the new sim card and it works now ! So my suggestion is call sprint give them the iemi number and send u out a sim. Other than that the phone is nice however the camera is super dark when trying to use superslowmo
            "
"1102","This is a great phone with a lot of cool features and a top-notch camera, but I could do without Bixby and the overwhelming number of useless apps on it.  In addition, price-wise, it is not exponentially better (10X) than the BlackBerry Z10 that I switched over from and suffers from the following issues that take it down a notch:-Google Play doesn't download the album art if you transfer music over from your computer. It's not the end of the world, but the Z10 wasn't missing any album covers in its library.  I downloaded a pay-for-play music player and pushed Google Play to the next page because I wanted whatever album art I could get.  Without it, I find it kind of bland.-I am astounded as to why e-mails, phone calls and texts are all in different places. The S9+ should have a hub ""stream"", similar to the Z10.  I found that I needed to download the BlackBerry Hub for Android feature because it provides the user with one stream of e-mails, phone calls and text messages.  BlackBerry Hub for Android is the best thing since sliced bread and it is available either free (without ads for 30 days and with ads after that), and 99 cents a month (without ads), thereafter. From the human factors perspective, this is something that Samsung should be offering, especially at its advanced rate of development.-When a calendar event opens, there's no option to ""snooze"".-Playing music with earbuds was a little disappointing. The BlackBerry Z10 had a built-in optional booster and the sound quality was much better with richer bass, even with a $10 pair of earbuds.  The S9+ DOES have very good speaker sound, though.I bought this phone because I thought it was time to upgrade to an Android-based device that could run more apps, especially from the proprietary BlackBerry O/S that is going or gone extinct.  The S9+ is a very nice phone, but it is a little lacking and not flawless.  I am one that will probably not use it to play Pokemon or for any gaming.  The core features I use it for are phone, e-mail, music and some Android apps.  It's nice having a phone that can do the latter, but it would also be nice to have the best of both worlds.
            "
"1103","Nice phone/camera but it is a super slippery fragile fingerprint magnet.  Case was late from Amazon, slipped out of my pocket18 inches off ground and the screen cracked.  Weak.  I like my Note 4 better.  Bit of buyer's remorse for me.
            "
"1104","Like many products these days it's all about the marketing and hype.  I've had the phone now for over a month.Pros:Speakers are loud and clearHeadphone amp is 1.4x more powerfulSome interesting tweaks in audio for Dolby Atmos, tube amp, etc.Display is outstandingCons:Bixby button is an annoyance. The placement is such when you use the power button you hit the Bixby button which IMO is a useless feature.Samsung bloatware.  Knox, Samsung music, gallery, etc. Compared to Google and what's on play I just want to delete them but can't.OS updates!  The half-hearted joke is if you want an updated OS, buy a new phone.  This includes security updates.Samsung should concentrate their efforts on updating the OS and security and forgo the lousy Samsung apps.Would I recommend the phone.  That depends.  If you love audio, then yes this is a good choice.  If you want updated software, speed and smooth opertation I would look elsewhere.
            "
"1105","Very good phone but i give only 4 stars because there is no IR port. Even my old chineese phone had one ! i used it to control my air conditioner.
            "
"1106","Literally the best phone I've ever had, I loved it so much I decided to upgrade to the S9 Plus version. Here's my layman's review on both.PROs:- The night photos are where this phone shines, definitely able to get every detail possible in low lighting.- Battery life is massive with both phone: S9 has a 3000mAh / S9 Plus 3500mAh- Plenty of RAM: S9 has 4gigs/ S9 Plus 6gigs. Both perform very extremely well but 6 gigs worth of RAM seems like overkill as 4 gigs from the S9 suffice with little to no slowdowns.-  Headphone jack on both version. Also comes with some sweet AKG earbuds.- AR emoji is relatively fun and great to show to people interested in checking out the phone- Thin phone- 4k Video quality- Great Speakers- Samsung Pay, literally can be used anywhere that accepts Cards as it mimics the magnetic strip (Not like Google Pay that relies on the ereader).- Live Translations with Bixby Vision- (Plus Version)  Live photo mode. Really great feature, and editable-  (Plus version) 2 Rear Cameras with optical zoom at 2x and digital at 10x, and dual captureCONs:- While night photos are amazing, daytime photos can sometimes appear overly saturated.- There isn't a noticeable size difference between both phones.- What is the point of Bixby? Really difficult to incorporate it into my daily life without actively thinking ""I should give Bixby a try""- While thin, it's somewhat heavy.- Besides the camera, there isn't a massive difference between S9 and S9 Plus.VERDICT:As stated above, I love the S9 so much I upgraded to the Plus version. Both phones run extremely fast with little to no slowdown, even having several apps open does little to bog it's performance down. Photos look fantastic at especially at night with both versions. My only issue is the new Bixby button: it's not something I would actively use but at least users can disable this feature. Overall it's a lovely phone, S9 works just as well as the S9 Plus but lacking a few features with the camera.
            "
"1107","The camera will not autofocus on my S9, and it's been a known problem since it came out early this year. Still no resolution except ""send it back to the factory"". Wish I had known this before I bought it.
            "
"1108","Phone frequently starts talking out loud (even if in your pocket or bag) because the dedicated had button pushes up against something. You can follow on-line instructions to disable the voice talking, but every time the phone auto-updates the operating system (which is forced upon you), the ""Bixby voice assistant"" is reverted to default mode. So, phone starts talking out loud at random times again.Do EVERYTHING you can do to avoid this phone. Do NOT buy any phone with ""Bixby"" associated with it. Samsung thinks it's smarter than you, so they took away your ability to disable the voice thing permanently, and they made it impossible to re-purpose the additional button for anything. Total garbage.
            "
"1109","This is a typical Samsung Flagship phone. It is well built and feels premium on hand. The picture quality is great. Shoots even better in low light. This phone has A LOT of features and can be quite complex. Blue Light filter, Dolby Atmos, Edge light, Always on and more. I am a simple guy and have never found these features useful. But slowly I started playing with them. Definitely useful but not must have.Why did I give 3 stars?Too much Samsung bloatware and the Bixby button is hell of annoying. The fingerprint and face recognition are not reliable. Face recognition rare works. The phone battery tends to die over night in standby mode if I only have 10% left.--Update after a year--The battery is horrible. Barely getting 2-3 hours on screen a day. I had to charge 2-3 times a day. Not going to buy a Samsung again.
            "
"1110","I got my phone from Verizon, but I am reviewing it here since it is the same phone. The Samsung Galaxy S9 is overall a great quality phone. Sometimes I won't get a notification for text messages and I have some problems with the screen. I got a screen protector for this phone and I found that it lifted up on the sides due to the curved screen. This caused dirt to get under it and the screen has a hard time processing touch through a screen protector. I took that off and now my fingerprints get ALL OVER the screen. More than normal. That would be fine if I could wipe them off, but they stick into the screen. (I never touch my phone before washing my hands after eating if that helps) No matter how hard I wipe (with a glasses cleaning cloth) they won't come out. Everything else about the phone is outstanding though and greatly surpasses the competition. Even with these problems it is a way better option than the iPhone X. Better camera and battery life!
            "
"1111","I bought 2 of these for me and my husband at Best buy the unlocked US version and when I got home neither get signal 1 bar if lucky. We went to the city and in the larger city and there we get signal.. I wish someone would have warned me that the unlocked version gets little signal with AT&T now I'm giving people a warning AT&T gets horrible reception
            "
"1112","The phone was great since i had upgraded from the s7 but the screen seems to be very fragile in my case the phone screen cracked while being in my pocket and protected by tempered glass and a phone case after this i called my insurance and they sent me back a new phone for a deductible of $200 the new phone broke in the same way as the first one in less than a week although this one was not protected by tempered glass after seeing booth had broken in less then a month i contacted samsung customer support something I would never do again since all they did was waste my time I was told I had to send my phone to be inspected and they would repair under warrantty. I sent my phone to them and it arrived at their facility two days later. After 10 days I had not received any information from samsung so I decided to call. When I called I was informed the phone was processing and I would recieve it in 5 buisness days, later that day I finally recieved notification they had my phone processing and it would be ready soon. Now 2 days ago I recieved a bill for repair costs of 247.89 way more than my deductible because my phone was not covered by warranty.
            "
"1113","I purchased this phone as an ""upgrade"" to my wife's Google Pixel phone. (Actually my son got her Phone when his HTC M8 died.) Anyway, it's the second worst phone she's owned - and we have to go all the way back to the Motorola Photon to beat the miserable user experience provided by the Samsung Galaxy S9. As usual, Samsung has placed the albatross of bloatware heavily upon the otherwise promising hardware. I'd root it in a minute if she'd let me.
            "
"1114","Don't buy!!  Two things are good... the touted good camera and processor speed. Sound is marginal and maybe worse than previous issues.  It is NARROW, terribly so such that 1/3 of my time is spent correcting misspelled words no matter what keyboard I try. Yes typing on the horizontal position is ok, but awkward and you have to use 2 hands. Samsung dropped individual text notices and so now EVERYTHING sounds the same when notified making you pull out the phone, unlock it, then find out what the notice was for... drivel!! At least weekly I have to restart the phone for the dail numbers to work, otherwise it does not put calls and texts through. The screen touch is over desensitized with a screen protector sometimes requiring multi-touches to respond even when in the sensitive mode.  It reminds me of Microsoft's Mellium PC format.
            "
"1115","The Galaxy S9 is a great looking and working phone, but I challenge you to try to figure out all the camera features they show in the commercial.They show all sorts of things like 'swing' and 'boomerang'  and 'super slo-mo', but the only feature I can actually find is the slo-mo.  The other features are buried somewhere in the camera and Samsung provides ZERO instructions on how to use them.I'm currently scouring the internet to see how to activate these features, but it is a major fail for Samsung for not providing guidance in the box.
            "
"1116","I used to get Samsung products because of their Google integration.  Now there is a button on the side that you cant turn off without signing up for Samsung's service.  I will no longer be purchasing Samsung products.UPDATE: There updates continue to try and push their products.  Even going so far as removing your settings and replacing them with samsung offerings.  Will never buy Samsung again.
            "
"1117","Camera defective from factory. Ordered from Amazon.  Rear camera can't focus when selected. Manual focus does nothing. 20 seconds later it works fine. Starting to happen more often and of course I'm a day late for returning it. NO GOODUpdate... ubreakifix did the repair on the camera. It was a hassle, but it works. The shop owner told me what a hassle it is working with Samsung, I'm just glad that I didn't have to mail it in for the warranty.
            "
"1118","I love EVERYTHING about this phone, except for one thing. The BATTERY drains way faster than all my previous phones. I've used the iPhone X before to play Fortnite and the battery on the iPhone X didn't drain as fast as this phone does. It might be that Fortnite isn't optimized for android or something, I don't know. I've also played a lot of Asphalt 9 on this phone and the battery drains quickly too. I recommend getting this phone still, if you're not worried about the battery. This phone has a excellent camera, although the Google Pixel 2 XL excels in some areas. A nice feature about the camera is that you can change the aperture. The screen on this phone is the best! The screen is so beautiful and HQ! I took my iPhone 7 Plus out to compare and I just notice the ugly bezels on the iPhone screen. I don't think I can use phones with bezels again after using this amazing phone! The phone is very fast, of course with a Snapdragon 845, you can expect it to do anything. Runs Fortnite perfectly fine if you want this phone to play Fortnite. Multitasking is very easy. All in all it's a great phone, worth every single penny you've spent. If you don't care about the battery life, this is the perfect phone for you.
            "
"1119","better battery life than any other phone i used...photos and video turn out clearer than even the newest gopro. 4k is crazy clear and pictures are great too but i own a sony full frame camera so i typically dont use it alot..i will say the selfie camera lacks tho but thats because my previous phone was a sony xperia ultra xa1..the selfie cam was better than the rear one. lol speakers are like actual speakers too..pretty clear
            "
"1120","Good phone and camera, however tons of bloatware clogging everything (cpu, ram, sd card), not up to date Android version (8.0), very slow on safety relevant updates. Bixby is the worst, you need an app to block this useless crap. All in all good phone if Samsung would just listen to customers.
            "
"1121","The Galaxy S9 is Samsung's 2018 flagship phone that currently runs on Android's latest version. This device is powered by Qualcomm's 2018 845 processor. There is a headphone jack and a USB C port that charges the phone from 0% to 100% in 1 hour and 45 min. The phone has 3 buttons: a power button, a volume control button, and Samsung Bixby (voice assistant) button. One of the biggest changes from the S8 is the camera. The S9+ has a dual camera that performs well in low light. Some of the camera modes include auto, video, hyperlapse, super slo-mo, and food. The camera produces amazing images and 4k 60 fps video. For unlocking the phone you can use a pin, password, pattern, fingerprint, iris, or face. The phone has wireless charging that allows you to lay the phone on a pad without plugging it in. The curved screen on this phone is phenomenal. One interesting inclusion to the phone is a heart rate monitor that is next to the camera. This can be used in the Samsung Health app. The phone is thin and light and has a great feel. Samsung has done a great job with the S9. The S9 is a great price phone that I highly recommend.
            "
"1122","After doing a fair bit of research I am pretty sure that many phones people are getting are fake Chinese knock offs. I would not recommend taking the chance on this. They look similar but there are subtle differences that say these are fakes.
            "
