Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,58900.000000,59000.000000,57400.000000,58800.000000,58800.000000,27546
2015-06-25,58800.000000,58800.000000,57000.000000,57500.000000,57500.000000,24511
2015-06-26,57300.000000,58100.000000,56900.000000,57300.000000,57300.000000,17295
2015-06-29,56000.000000,56800.000000,54100.000000,54900.000000,54900.000000,26006
2015-06-30,54900.000000,55500.000000,54000.000000,55000.000000,55000.000000,11974
2015-07-01,56000.000000,56000.000000,54000.000000,54500.000000,54500.000000,25060
2015-07-02,54700.000000,55400.000000,54400.000000,54700.000000,54700.000000,18146
2015-07-03,54800.000000,58000.000000,54800.000000,57500.000000,57500.000000,27148
2015-07-06,57500.000000,57500.000000,56000.000000,56500.000000,56500.000000,14441
2015-07-07,57000.000000,57300.000000,54600.000000,55200.000000,55200.000000,22602
2015-07-08,55200.000000,55700.000000,53800.000000,53900.000000,53900.000000,20075
2015-07-09,54000.000000,55100.000000,53200.000000,55100.000000,55100.000000,15603
2015-07-10,56000.000000,58800.000000,55500.000000,57800.000000,57800.000000,36366
2015-07-13,59200.000000,61800.000000,58900.000000,61600.000000,61600.000000,40544
2015-07-14,62600.000000,64400.000000,62000.000000,63800.000000,63800.000000,38373
2015-07-15,63800.000000,66200.000000,63800.000000,64800.000000,64800.000000,38437
2015-07-16,66000.000000,68600.000000,65200.000000,68000.000000,68000.000000,61710
2015-07-17,67300.000000,69400.000000,64300.000000,66500.000000,66500.000000,61869
2015-07-20,67300.000000,69100.000000,66500.000000,68000.000000,68000.000000,48840
2015-07-21,68300.000000,69500.000000,68100.000000,68400.000000,68400.000000,47300
2015-07-22,68800.000000,72000.000000,64300.000000,67000.000000,67000.000000,155265
2015-07-23,66900.000000,67400.000000,65000.000000,65800.000000,65800.000000,54696
2015-07-24,67400.000000,67700.000000,65400.000000,65600.000000,65600.000000,63245
2015-07-27,67400.000000,67400.000000,61500.000000,62600.000000,62600.000000,61222
2015-07-28,61600.000000,62400.000000,60000.000000,61500.000000,61500.000000,46885
2015-07-29,62000.000000,63600.000000,61300.000000,61500.000000,61500.000000,22284
2015-07-30,62000.000000,62600.000000,60100.000000,61500.000000,61500.000000,17592
2015-07-31,61000.000000,62100.000000,60800.000000,61700.000000,61700.000000,14052
2015-08-03,61300.000000,63800.000000,61300.000000,62300.000000,62300.000000,20102
2015-08-04,63000.000000,63000.000000,60700.000000,61700.000000,61700.000000,28299
2015-08-05,62400.000000,63400.000000,61400.000000,62200.000000,62200.000000,9680
2015-08-06,62000.000000,62600.000000,60900.000000,61000.000000,61000.000000,20551
2015-08-07,60900.000000,61700.000000,60200.000000,61000.000000,61000.000000,15968
2015-08-10,61000.000000,61200.000000,59400.000000,59800.000000,59800.000000,28019
2015-08-11,59500.000000,61100.000000,59000.000000,59800.000000,59800.000000,14080
2015-08-12,58900.000000,59800.000000,58400.000000,59800.000000,59800.000000,20783
2015-08-13,59200.000000,60300.000000,58800.000000,59600.000000,59600.000000,12205
2015-08-14,59600.000000,59600.000000,59600.000000,59600.000000,59600.000000,0
2015-08-17,59700.000000,61100.000000,59000.000000,59400.000000,59400.000000,12372
2015-08-18,59900.000000,59900.000000,58000.000000,58000.000000,58000.000000,14618
2015-08-19,57900.000000,59500.000000,55400.000000,57000.000000,57000.000000,14124
2015-08-20,55200.000000,57000.000000,55200.000000,56000.000000,56000.000000,8258
2015-08-21,51500.000000,54400.000000,51500.000000,52000.000000,52000.000000,29230
2015-08-24,49050.000000,52200.000000,48950.000000,48950.000000,48950.000000,41058
2015-08-25,49000.000000,52800.000000,48950.000000,51800.000000,51800.000000,25773
2015-08-26,51800.000000,55000.000000,51700.000000,54900.000000,54900.000000,16409
2015-08-27,54900.000000,58100.000000,54900.000000,57700.000000,57700.000000,24027
2015-08-28,58200.000000,61400.000000,58100.000000,60300.000000,60300.000000,23656
2015-08-31,61300.000000,61300.000000,58400.000000,59500.000000,59500.000000,12278
2015-09-01,59300.000000,61300.000000,59300.000000,60900.000000,60900.000000,16579
2015-09-02,60700.000000,62000.000000,59000.000000,62000.000000,62000.000000,15226
2015-09-03,62000.000000,64700.000000,62000.000000,63300.000000,63300.000000,24261
2015-09-04,63300.000000,64100.000000,62000.000000,63500.000000,63500.000000,18265
2015-09-07,68500.000000,74900.000000,60000.000000,62500.000000,62500.000000,154945
2015-09-08,64000.000000,64200.000000,61300.000000,62000.000000,62000.000000,36583
2015-09-09,63900.000000,63900.000000,60000.000000,61600.000000,61600.000000,34968
